Timestamp,Strategy,Initial Capital,Net Equity,Total Profit,Total Fees,Total Trades,Largest Win,Largest Loss,Avg Win,Avg Loss,Unrealized PnL,Cumulative Return,CAGR,Win Rate,Profit Factor (PF),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Payoff Ratio,Volatility,Max Drawdown,Recovery Factor,Kelly Criterion,Omega Ratio,Ulcer Index,VaR,CVaR
2026-06-16 15:23:39,Session_Williams_R_Volatility_Squeeze_15m.py,1.000.000.000 ₫,5.040.160.000 ₫,+404.02%,+41.18%,1691,+11.80%,-28.48%,+0.58%,-0.36%,4.040.160.000 ₫,+404.02%,+72.07%,+48.67%,1.46,1.93,2.55,1.63,1.53,0.42,-44.18%,9.14,+15.23%,1.46,0.12,-4.08%,-5.11%
2026-06-16 15:24:31,Slope_CMO_ADXR_Trend_10m.py,1.000.000.000 ₫,6.794.800.000 ₫,+579.48%,+66.00%,2748,+10.80%,-15.53%,+0.29%,-0.19%,5.794.800.000 ₫,+579.48%,+90.21%,+49.66%,1.66,2.31,4.34,6.17,1.68,0.31,-14.62%,39.64,+19.74%,1.66,0.04,-2.90%,-3.25%
2026-06-16 15:26:15,Triangular_Aroon_Trend_Follower_5m.py,1.000.000.000 ₫,-2.984.720.000 ₫,-100.00%,+794.71%,31242,+8.26%,-6.67%,+0.10%,-0.08%,-3.984.720.000 ₫,-100.00%,-100.00%,+41.73%,1.1,-1.5,0.51,-1.0,1.08,1.35,-100.00%,-1.0,-12.04%,1.1,1.28,-13.79%,-16.91%
2026-06-16 15:27:07,Triple_Exponential_CCI_Volatility_Regime_10m.py,1.000.000.000 ₫,6.903.440.000 ₫,+590.34%,+48.34%,2013,+10.68%,-20.11%,+0.31%,-0.23%,5.903.440.000 ₫,+590.34%,+91.23%,+50.88%,1.51,2.14,3.36,3.43,1.45,0.39,-26.56%,22.23,+17.11%,1.51,0.07,-3.73%,-4.66%
2026-06-16 15:27:50,Triple_Exponential_Moving_Average_CCI_Swing_15m.py,1.000.000.000 ₫,6.644.560.000 ₫,+564.46%,+52.70%,2195,+9.70%,-15.73%,+0.39%,-0.26%,5.644.560.000 ₫,+564.46%,+88.79%,+52.04%,1.53,2.16,3.55,3.92,1.41,0.35,-22.68%,24.89,+18.11%,1.53,0.05,-3.33%,-4.23%
2026-06-16 15:29:03,Zscore_LinearReg_Trend_Follow_10m.py,1.000.000.000 ₫,8.586.240.000 ₫,+758.62%,+98.38%,2629,+11.02%,-20.38%,+0.26%,-0.22%,7.586.240.000 ₫,+758.62%,+105.75%,+56.80%,1.52,2.32,3.31,2.73,1.16,0.39,-38.68%,19.61,+19.47%,1.52,0.08,-3.74%,-5.38%
2026-06-16 15:29:55,[15m] Vwma_LinReg_Slope_Momentum_15m.py,1.000.000.000 ₫,6.945.760.000 ₫,+587.05%,+56.42%,2141,+9.76%,-19.62%,+0.35%,-0.27%,5.945.760.000 ₫,+587.05%,+90.92%,+53.07%,1.42,1.85,3.0,2.75,1.25,0.41,-33.01%,17.79,+15.61%,1.42,0.09,-3.96%,-5.28%
2026-06-16 19:40:54,Mcts_Natr_66ef_30m.py,1.000.000.000 ₫,2.263.320.000 ₫,+126.33%,+15.47%,1261,+8.49%,-6.49%,+0.39%,-0.29%,1.263.320.000 ₫,+126.33%,+31.53%,+49.25%,1.23,0.86,1.89,1.47,1.27,0.28,-21.39%,5.91,+9.28%,1.23,0.08,-2.81%,-3.40%
2026-06-16 19:41:48,Mcts_Roc_Sma_Atr_fd02_3m.py,1.000.000.000 ₫,2.330.476.000 ₫,+133.05%,+11.77%,3266,+2.43%,-3.35%,+0.05%,-0.04%,1.330.476.000 ₫,+133.05%,+32.83%,+56.67%,1.65,3.0,4.84,3.66,1.27,0.11,-8.98%,14.81,+22.42%,1.65,0.02,-0.99%,-1.23%
2026-06-16 19:43:16,Mcts_Rolling_rank_Wma_ca37_5m.py,1.000.000.000 ₫,270.720.000 ₫,-72.93%,+63.46%,6610,+5.50%,-8.78%,+0.15%,-0.12%,-729.280.000 ₫,-72.93%,-35.50%,+45.60%,0.73,-1.44,-1.91,-0.46,0.87,0.26,-76.50%,-0.95,-17.02%,0.73,0.33,-2.85%,-4.76%
2026-06-16 19:44:09,Mcts_Rsi_9f6c_10m.py,1.000.000.000 ₫,2.291.088.000 ₫,+129.11%,+24.98%,5100,+5.55%,-4.00%,+0.13%,-0.08%,1.291.088.000 ₫,+129.11%,+32.07%,+52.00%,1.55,2.48,3.89,3.49,1.43,0.13,-9.20%,14.04,+18.53%,1.55,0.02,-1.22%,-1.60%
2026-06-16 19:44:52,Mcts_Volume_z_Cmo_52a8_15m.py,1.000.000.000 ₫,2.109.200.000 ₫,+110.92%,+27.90%,4505,+3.23%,-3.78%,+0.21%,-0.09%,1.109.200.000 ₫,+110.92%,+28.46%,+50.47%,1.47,2.22,3.28,2.55,1.44,0.13,-11.18%,9.92,+16.08%,1.47,0.03,-1.28%,-1.77%
2026-06-16 19:51:31,Mcts_Rsi_Ema_c48f_1m.py,1.000.000.000 ₫,3.091.180.000 ₫,+206.36%,+63.13%,7340,+8.75%,-6.15%,+0.05%,-0.05%,2.091.180.000 ₫,+206.36%,+45.60%,+52.80%,1.44,1.92,3.34,4.22,1.28,0.21,-10.81%,19.08,+16.03%,1.44,0.03,-1.98%,-2.49%
2026-06-20 21:50:59,Mcts_Zscore_Rsi_Morning_star_3f31_30m.py,1.000.000.000 ₫,1.738.836.000 ₫,+73.88%,+10.72%,1143,+4.99%,-3.88%,+0.35%,-0.18%,738.836.000 ₫,+73.88%,+20.40%,+54.80%,1.49,1.44,2.5,2.27,1.23,0.12,-9.00%,8.21,+17.99%,1.49,0.02,-1.21%,-1.73%
2026-06-20 22:44:13,Mcts_Zscore_6c73_30m.py,1.000.000.000 ₫,1.989.380.000 ₫,+98.94%,+10.12%,1293,+3.93%,-6.26%,+0.27%,-0.18%,989.380.000 ₫,+98.94%,+25.96%,+48.47%,1.47,1.77,2.93,2.11,1.57,0.14,-12.32%,8.03,+15.59%,1.47,0.03,-1.36%,-1.75%
2026-06-20 22:45:31,Mcts_Zscore_Vwap_Ema_4675_5m.py,1.000.000.000 ₫,740.880.000 ₫,-25.86%,+16.03%,1336,+3.92%,-3.27%,+0.15%,-0.13%,-259.120.000 ₫,-25.86%,-9.55%,+43.46%,0.82,-0.70,-1.07,-0.24,1.07,0.13,-40.20%,-0.64,-9.57%,0.82,0.21,-1.40%,-1.97%
